balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,pair,weight_a_petaware,weight_b_final,thr_ge_T2,thr_ge_T3,thr_ge_T4
0.5764168814680695,0.5764168814680695,0.5578936545943829,0.718562874251497,0.5089605734767025,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,fair_hu_geom_petaware_final,0.95,0.05,0.64,0.44,0.34
0.5763954190166283,0.5763954190166283,0.5623274865726164,0.6826347305389222,0.5448028673835126,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,fair_hu_geom_petaware_final,1.0,0.0,0.62,0.44,0.34
0.575949454040047,0.575949454040047,0.5611404057418792,0.7245508982035929,0.5053763440860215,0.46703296703296704,0.6068376068376068,0.5419847328244275,0.5725806451612903,131,fair_hu_geom_petaware_final,0.7,0.3,0.64,0.45,0.36
0.57565257644937,0.57565257644937,0.5620082331675035,0.6946107784431138,0.5304659498207885,0.44505494505494503,0.6324786324786325,0.5362318840579711,0.5803921568627451,138,fair_hu_geom_petaware_final,0.35,0.65,0.63,0.45,0.34
0.5739540062024127,0.5739540062024127,0.5577611878323996,0.6946107784431138,0.5340501792114696,0.4175824175824176,0.6495726495726496,0.5205479452054794,0.5779467680608366,146,fair_hu_geom_petaware_final,0.25,0.75,0.63,0.46,0.33
0.5725803798287862,0.5725803798287862,0.5563236965383839,0.6946107784431138,0.5340501792114696,0.41208791208791207,0.6495726495726496,0.5205479452054794,0.5779467680608366,146,fair_hu_geom_petaware_final,0.2,0.8,0.63,0.46,0.33
0.5724480378720286,0.5724480378720286,0.5366066014285573,0.7065868263473054,0.5197132616487455,0.2857142857142857,0.7777777777777778,0.4945652173913043,0.6046511627906976,184,fair_hu_petaware_final,0.95,0.05,0.62,0.47,0.31
0.5724480378720286,0.5724480378720286,0.5366066014285573,0.7065868263473054,0.5197132616487455,0.2857142857142857,0.7777777777777778,0.4945652173913043,0.6046511627906976,184,fair_hu_petaware_final,1.0,0.0,0.62,0.48,0.31
0.5722618334169426,0.5722618334169426,0.5309485783914829,0.7245508982035929,0.4265232974910394,0.3516483516483517,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.4,0.6,0.63,0.39,0.3
0.5722618334169426,0.5722618334169426,0.5309485783914829,0.7245508982035929,0.4265232974910394,0.3516483516483517,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.45,0.55,0.63,0.39,0.3
0.5722618334169426,0.5722618334169426,0.5309485783914829,0.7245508982035929,0.4265232974910394,0.3516483516483517,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.5,0.5,0.63,0.39,0.3
0.5722618334169426,0.5722618334169426,0.5309485783914829,0.7245508982035929,0.4265232974910394,0.3516483516483517,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.55,0.45,0.63,0.39,0.3
0.5722618334169426,0.5722618334169426,0.5309485783914829,0.7245508982035929,0.4265232974910394,0.3516483516483517,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.6,0.4,0.63,0.39,0.3
0.5722618334169426,0.5722618334169426,0.5309485783914829,0.7245508982035929,0.4265232974910394,0.3516483516483517,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.65,0.35,0.63,0.39,0.3
0.5722618334169426,0.5722618334169426,0.5309485783914829,0.7245508982035929,0.4265232974910394,0.3516483516483517,0.7863247863247863,0.4816753926701571,0.5974025974025974,191,fair_hu_petaware_final,0.7,0.3,0.63,0.39,0.3
