feature_table,feature_set,model,mode,n,balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,w_T1,w_T2,w_T3,w_T4,thr_ge_T2,thr_ge_T3,thr_ge_T4,source_file
pred_oof_headneck_hu_realgeom_predmask_final,baseline,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.5678869131641007,0.5678869131641007,0.5403765483860739,0.6646706586826348,0.4982078853046595,0.3736263736263736,0.7350427350427351,0.4648648648648649,0.5695364238410596,185,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.5678869131641007,0.5678869131641007,0.5403765483860739,0.6646706586826348,0.4982078853046595,0.3736263736263736,0.7350427350427351,0.4648648648648649,0.5695364238410596,185,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_leaf2,ordinal_threshold_tuned,745,0.5670893236568337,0.5670893236568337,0.532643511520648,0.6646706586826348,0.4767025089605735,0.3406593406593406,0.7863247863247863,0.4791666666666667,0.5954692556634305,192,,,,,0.5999999999999999,0.3999999999999999,0.3,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_depth12_leaf1,proba_weight_tuned,745,0.5668434488697189,0.5668434488697189,0.5424978134423473,0.6706586826347305,0.5161290322580645,0.3626373626373626,0.717948717948718,0.4883720930232558,0.5813148788927336,172,1.0,0.7,0.8999999999999999,1.2999999999999998,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu,rf_leaf2,ordinal_threshold_tuned,745,0.5663798540223111,0.5663798540223111,0.5197487793746028,0.7544910179640718,0.3870967741935484,0.3461538461538461,0.7777777777777778,0.4764397905759162,0.5909090909090909,191,,,,,0.6499999999999999,0.3999999999999999,0.3,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_leaf2,tuned_posthoc_t3_to_t4,745,0.5660649633027458,0.5660649633027458,0.536200320992221,0.6586826347305389,0.5017921146953405,0.3516483516483517,0.7521367521367521,0.4631578947368421,0.5732899022801303,190,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5659734825516166,0.5659734825516166,0.5433276387133491,0.7005988023952096,0.5089605734767025,0.3791208791208791,0.6752136752136753,0.49375,0.5703971119133574,160,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_leaf2,tuned_posthoc_t3_to_t4,745,0.565951725286282,0.565951725286282,0.5319007337528273,0.6586826347305389,0.4946236559139785,0.3241758241758242,0.7863247863247863,0.4646464646464646,0.5841269841269842,198,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5658208573989915,0.5658208573989915,0.5447171029710345,0.7005988023952096,0.5089605734767025,0.3956043956043956,0.6581196581196581,0.4873417721518987,0.56,158,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5658208573989915,0.5658208573989915,0.5447171029710345,0.7005988023952096,0.5089605734767025,0.3956043956043956,0.6581196581196581,0.4873417721518987,0.56,158,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
